start_punt,eind_punt,gebruiken,project_id,afstand,hoogteverschil,meetdatum,std_afw_dh_a,std_afw_dh_b,std_afw_dh_c,,,,,,
ZOU0000016,ZOU0000015,1,189W63-ZOU,414,-0.5957,01/01/1978,0,1.07,0,,,,,,
ZOU0000017,ZOU0000015,1,189W63-ZOU,400,1.2196,01/01/1978,0,1.07,0,,,,,,
ZOU0000017,ZOU0000018,1,189W63-ZOU,680,0.7999,01/01/1978,0,1.07,0,,,,,,
ZOU0000018,ZOU0000014,1,189W63-ZOU,610,-1.5295,01/01/1978,0,1.07,0,,,,,,
ZOU0000018,ZOU0000017,1,189W63-ZOU,680,-0.7997,01/01/1978,0,1.07,0,,,,,,
ZOU0000018,ZOU0000019,1,189W63-ZOU,450,0.7425,01/01/1978,0,1.07,0,,,,,,
ZOU0000019,ZOU0000018,1,189W63-ZOU,450,-0.7422,01/01/1978,0,1.07,0,,,,,,
ZOU0000019,ZOU0000020,1,189W63-ZOU,520,0.4613,01/01/1978,0,1.07,0,,,,,,
ZOU0000019,ZOU0000025,1,189W63-ZOU,540,-0.6311,01/01/1978,0,1.07,0,,,,,,
ZOU0000020,ZOU0000019,1,189W63-ZOU,520,-0.4608,01/01/1978,0,1.07,0,,,,,,
ZOU0000020,ZOU0000021,1,189W63-ZOU,320,-0.9236,01/01/1978,0,1.07,0,,,,,,
ZOU0000021,ZOU0000001,1,189W63-ZOU,330,0.982,01/01/1978,0,1.07,0,,,,,,
ZOU0000021,ZOU0000020,1,189W63-ZOU,320,0.9231,01/01/1978,0,1.07,0,,,,,,
ZOU0000021,ZOU0000022,1,189W63-ZOU,480,-0.8897,01/01/1978,0,1.07,0,,,,,,
ZOU0000022,ZOU0000013,1,189W63-ZOU,560,-1.2853,01/01/1978,0,1.07,0,,,,,,
ZOU0000022,ZOU0000021,1,189W63-ZOU,480,0.8897,01/01/1978,0,1.07,0,,,,,,
ZOU0000022,ZOU0000023,1,189W63-ZOU,330,0.1778,01/01/1978,0,1.07,0,,,,,,
ZOU0000023,017E0041,1,189W63-ZOU,594,-0.2133,01/01/1978,0,1.07,0,,,,,,
ZOU0000023,ZOU0000022,1,189W63-ZOU,330,-0.1777,01/01/1978,0,1.07,0,,,,,,
ZOU0000024,017E0063,1,189W63-ZOU,692,0.1672,01/01/1978,0,1.07,0,,,,,,
ZOU0000024,ZOU0000001,1,189W63-ZOU,450,0.451,01/01/1978,0,1.07,0,,,,,,
ZOU0000025,017E0037,1,189W63-ZOU,356,1.0976,01/01/1978,0,1.07,0,,,,,,
ZOU0000025,017E0039,1,189W63-ZOU,890,2.3307,01/01/1978,0,1.07,0,,,,,,
ZOU0000025,ZOU0000019,1,189W63-ZOU,540,0.6302,01/01/1978,0,1.07,0,,,,,,
ZOU0000027,ZOU0000005,1,189W63-ZOU,500,1.2812,01/01/1978,0,1.07,0,,,,,,
ZOU0000027,ZOU0000030,1,189W63-ZOU,430,0.8955,01/01/1978,0,1.07,0,,,,,,
ZOU0000028,017E0043,1,189W63-ZOU,420,1.5325,01/01/1978,0,1.07,0,,,,,,
ZOU0000028,ZOU0000029,1,189W63-ZOU,410,-0.1926,01/01/1978,0,1.07,0,,,,,,
ZOU0000029,017E0089,1,189W63-ZOU,650,1.8345,01/01/1978,0,1.07,0,,,,,,
ZOU0000029,ZOU0000028,1,189W63-ZOU,410,0.1927,01/01/1978,0,1.07,0,,,,,,
ZOU0000030,017E0063,1,189W63-ZOU,1070,2.4647,01/01/1978,0,1.07,0,,,,,,
ZOU0000030,ZOU0000027,1,189W63-ZOU,430,-0.8955,01/01/1978,0,1.07,0,,,,,,
